"time","year","week","BadenWuerttemberg","Bavaria","Berlin","Brandenburg","Bremen","Hamburg","Hesse","MecklenburgVorpommern","Lower.Saxony","North.RhineWestphalia","RhinelandPalatinate","Saarland","Saxony","SaxonyAnhalt","SchleswigHolstein","Thuringia","Unknown","Germany"
2014.01923076923,2014,1,0,9,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,18
2014.03846153846,2014,2,1,2,0,1,0,0,5,0,1,14,6,0,0,1,0,0,0,31
2014.05769230769,2014,3,1,8,1,0,0,0,0,0,0,14,1,1,1,0,1,0,0,28
2014.07692307692,2014,4,0,2,2,0,0,1,2,0,0,12,2,1,1,1,0,0,0,24
2014.09615384615,2014,5,3,6,4,0,0,1,3,0,0,13,1,0,1,0,1,0,0,33
2014.11538461538,2014,6,4,2,2,1,0,0,0,0,1,5,2,0,0,0,0,0,0,17
2014.13461538462,2014,7,2,2,1,0,0,3,1,1,1,7,1,0,1,0,1,0,0,21
2014.15384615385,2014,8,1,3,3,0,0,0,2,0,4,5,1,0,0,0,1,0,0,20
2014.17307692308,2014,9,2,4,1,0,0,1,1,0,3,9,0,0,2,0,0,1,0,24
2014.19230769231,2014,10,1,2,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9
2014.21153846154,2014,11,1,4,1,0,0,0,2,0,0,5,0,0,0,0,0,0,0,13
2014.23076923077,2014,12,1,2,1,1,0,0,0,0,2,5,0,0,0,0,0,1,0,13
2014.25,2014,13,2,5,1,1,0,1,0,1,0,10,0,0,0,0,1,0,0,22
2014.26923076923,2014,14,1,2,1,0,1,0,1,0,1,7,2,0,1,0,3,0,0,20
2014.28846153846,2014,15,2,4,2,0,0,0,1,1,2,4,1,0,0,0,0,0,0,17
2014.30769230769,2014,16,1,1,2,0,0,0,2,0,2,3,2,0,1,0,0,0,0,14
2014.32692307692,2014,17,1,1,1,0,0,0,3,0,0,3,0,0,0,0,1,2,0,12
2014.34615384615,2014,18,0,1,2,0,0,0,1,0,0,5,0,0,1,0,0,0,0,10
2014.36538461538,2014,19,1,4,0,0,0,0,1,0,1,3,0,0,3,0,0,0,0,13
2014.38461538462,2014,20,1,4,2,0,0,0,0,0,0,4,0,0,2,0,0,0,0,13
2014.40384615385,2014,21,3,0,0,0,0,0,2,1,3,2,1,0,0,0,0,0,0,12
2014.42307692308,2014,22,2,3,2,1,0,0,2,0,1,1,0,0,1,1,0,0,0,14
2014.44230769231,2014,23,4,3,1,0,0,1,2,1,2,13,2,0,0,0,0,1,0,30
2014.46153846154,2014,24,0,1,0,0,0,0,1,0,0,4,1,0,1,0,0,1,0,9
2014.48076923077,2014,25,0,1,0,0,0,1,2,0,1,3,0,1,1,0,2,0,0,12
2014.5,2014,26,0,2,3,0,0,0,1,2,1,6,1,0,0,0,1,0,0,17
2014.51923076923,2014,27,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4
2014.53846153846,2014,28,2,1,0,0,0,0,1,0,0,6,2,0,1,0,1,1,0,15
2014.55769230769,2014,29,3,3,0,0,0,1,4,0,2,2,3,0,0,1,1,1,0,21
2014.57692307692,2014,30,1,0,0,0,0,2,0,0,1,2,0,0,0,0,1,1,0,8
2014.59615384615,2014,31,1,1,0,0,0,1,1,0,1,0,2,1,0,0,1,0,0,9
2014.61538461538,2014,32,0,2,2,0,0,1,0,0,2,1,1,0,0,0,0,0,0,9
2014.63461538462,2014,33,0,1,1,0,0,0,1,0,0,2,1,0,0,0,1,0,0,7
2014.65384615385,2014,34,1,5,2,0,0,3,0,0,0,2,2,0,0,0,1,0,0,16
2014.67307692308,2014,35,1,1,0,1,0,0,1,0,0,8,0,0,0,0,1,0,0,13
2014.69230769231,2014,36,0,1,1,0,0,1,1,0,0,2,1,0,1,0,0,0,0,8
2014.71153846154,2014,37,2,3,0,0,0,1,0,0,0,2,2,0,1,0,0,1,0,12
2014.73076923077,2014,38,3,2,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,10
2014.75,2014,39,2,3,0,0,0,10,1,0,0,5,1,1,1,0,1,1,0,26
2014.76923076923,2014,40,1,1,0,0,0,1,1,2,0,1,0,0,1,0,2,0,0,10
2014.78846153846,2014,41,0,2,0,0,0,11,0,1,2,2,3,0,1,0,2,0,0,24
2014.80769230769,2014,42,0,3,1,1,0,5,2,0,2,5,8,0,2,0,1,0,0,30
2014.82692307692,2014,43,1,1,0,0,0,6,2,0,0,3,0,0,0,1,1,0,0,15
2014.84615384615,2014,44,2,2,0,0,0,7,0,0,1,3,0,0,0,1,0,0,0,16
2014.86538461538,2014,45,4,2,0,0,0,4,4,0,1,1,0,0,0,0,1,0,0,17
2014.88461538462,2014,46,3,2,1,0,0,2,0,0,2,5,3,1,0,0,1,0,0,20
2014.90384615385,2014,47,1,2,0,0,0,0,0,0,1,5,1,0,2,0,3,0,0,15
2014.92307692308,2014,48,2,1,3,0,0,0,1,0,1,5,2,0,0,0,2,0,0,17
2014.94230769231,2014,49,4,2,1,0,0,2,2,0,1,1,0,0,0,1,1,0,0,15
2014.96153846154,2014,50,1,2,0,0,0,1,1,0,4,0,2,0,0,0,0,0,0,11
2014.98076923077,2014,51,7,5,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,16
2015,2014,52,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
2015.01923076923,2015,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
2015.03846153846,2015,2,1,0,1,0,0,1,1,1,0,8,1,0,0,0,1,0,0,15
2015.05769230769,2015,3,3,1,1,1,1,2,2,0,1,8,0,0,0,0,2,0,0,22
2015.07692307692,2015,4,3,2,0,0,0,1,0,0,1,6,1,0,0,0,1,0,0,15
2015.09615384615,2015,5,1,0,1,0,1,1,1,0,2,6,1,0,0,0,1,2,0,17
2015.11538461538,2015,6,0,5,1,0,1,3,0,2,0,13,3,1,1,0,1,0,0,31
2015.13461538462,2015,7,2,4,0,0,0,0,2,0,0,12,1,0,1,1,2,1,0,26
2015.15384615385,2015,8,1,4,1,0,0,4,0,0,0,9,1,0,1,0,1,0,0,22
2015.17307692308,2015,9,0,2,2,0,0,5,1,1,1,7,2,0,0,0,1,0,0,22
2015.19230769231,2015,10,2,2,0,3,1,3,0,0,0,1,0,1,1,0,2,0,0,16
2015.21153846154,2015,11,0,2,0,1,0,0,0,0,0,4,2,0,0,1,1,0,0,11
2015.23076923077,2015,12,1,4,2,0,0,3,0,0,1,3,1,1,0,2,0,0,0,18
2015.25,2015,13,0,5,0,0,0,1,2,0,1,1,0,0,0,0,1,0,0,11
2015.26923076923,2015,14,0,1,1,0,0,0,1,0,1,2,0,0,0,2,0,0,0,8
2015.28846153846,2015,15,0,2,4,0,0,0,0,0,1,3,1,0,0,0,1,0,0,12
2015.30769230769,2015,16,0,7,0,0,0,5,0,0,2,3,1,0,1,1,1,0,0,21
2015.32692307692,2015,17,2,5,1,0,1,0,1,0,3,3,1,0,0,0,0,0,0,17
2015.34615384615,2015,18,0,5,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,10
2015.36538461538,2015,19,4,9,2,0,0,1,1,0,6,2,3,0,0,0,0,1,0,29
2015.38461538462,2015,20,1,3,1,0,0,1,0,0,0,3,0,1,0,0,1,1,0,12
2015.40384615385,2015,21,3,4,1,1,0,0,0,1,2,3,0,0,0,1,1,0,0,17
2015.42307692308,2015,22,4,1,1,0,0,1,0,0,0,3,0,1,1,0,0,0,0,12
2015.44230769231,2015,23,2,3,0,1,0,0,2,0,1,1,0,1,1,0,1,0,0,13
2015.46153846154,2015,24,3,9,1,0,0,1,0,0,1,6,0,0,1,1,2,0,0,25
2015.48076923077,2015,25,1,3,0,0,0,1,1,1,1,3,1,0,0,0,2,0,0,14
2015.5,2015,26,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5
2015.51923076923,2015,27,0,0,5,0,0,1,2,0,0,2,0,0,0,0,0,0,0,10
2015.53846153846,2015,28,1,6,2,0,0,2,1,0,0,1,1,0,0,1,1,0,0,16
2015.55769230769,2015,29,0,2,0,0,0,2,0,0,1,3,0,0,1,0,0,0,0,9
2015.57692307692,2015,30,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,5
2015.59615384615,2015,31,1,2,0,1,0,1,1,0,0,2,1,0,0,0,3,1,0,13
2015.61538461538,2015,32,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
2015.63461538462,2015,33,0,2,0,0,0,1,1,0,2,2,1,0,1,1,0,0,0,11
2015.65384615385,2015,34,0,3,0,0,0,0,0,1,0,3,6,0,0,0,0,1,0,14
2015.67307692308,2015,35,2,1,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,10
2015.69230769231,2015,36,1,2,1,0,0,0,1,0,0,6,1,0,0,0,1,0,0,13
2015.71153846154,2015,37,0,2,4,1,0,0,0,1,2,1,0,0,1,0,0,0,0,12
2015.73076923077,2015,38,0,2,2,0,0,0,4,0,0,7,0,0,0,0,0,0,0,15
2015.75,2015,39,2,3,1,2,0,1,0,1,3,3,0,0,0,1,0,0,0,17
2015.76923076923,2015,40,0,1,1,1,1,0,1,0,0,2,0,0,0,0,2,0,0,9
2015.78846153846,2015,41,2,3,1,1,0,0,1,0,1,3,0,0,0,0,2,0,0,14
2015.80769230769,2015,42,0,4,0,1,0,0,0,0,0,5,2,0,0,0,1,0,0,13
2015.82692307692,2015,43,0,5,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,10
2015.84615384615,2015,44,0,1,0,0,1,0,1,0,1,2,1,0,0,0,1,0,0,8
2015.86538461538,2015,45,1,1,1,0,0,1,1,0,0,4,2,0,0,0,1,0,0,12
2015.88461538462,2015,46,1,2,0,1,0,1,1,0,1,2,0,1,0,0,0,0,0,10
2015.90384615385,2015,47,0,0,0,0,0,0,1,0,3,4,0,0,0,2,1,0,0,11
2015.92307692308,2015,48,0,3,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,9
2015.94230769231,2015,49,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,6
2015.96153846154,2015,50,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,8
2015.98076923077,2015,51,1,3,1,0,0,0,0,0,1,2,1,0,1,0,0,0,0,10
2016,2015,52,1,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,7
2016.01923076923,2015,53,0,1,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,6
2016.01923076923,2016,1,1,4,0,0,0,0,0,1,2,2,1,0,0,0,1,0,0,12
2016.03846153846,2016,2,0,1,1,0,0,0,1,1,0,3,3,0,0,0,0,0,0,10
2016.05769230769,2016,3,2,1,0,1,0,2,2,0,0,3,0,0,0,0,0,2,0,13
2016.07692307692,2016,4,2,0,1,0,0,0,0,0,2,1,0,0,0,1,1,0,0,8
2016.09615384615,2016,5,2,0,2,0,0,2,2,0,2,3,1,0,2,1,2,0,0,19
2016.11538461538,2016,6,3,1,0,0,1,0,2,0,0,2,2,0,0,0,0,1,0,12
2016.13461538462,2016,7,4,2,2,1,0,1,3,0,1,3,1,0,0,2,0,0,0,20
2016.15384615385,2016,8,0,3,0,0,0,0,2,0,0,3,0,0,0,0,2,0,0,10
2016.17307692308,2016,9,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2016.19230769231,2016,10,0,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,7
2016.21153846154,2016,11,2,1,4,0,0,0,1,0,0,6,1,0,0,0,2,0,0,17
2016.23076923077,2016,12,1,0,1,0,0,1,1,0,0,2,0,0,0,1,1,0,0,8
2016.25,2016,13,2,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,8
2016.26923076923,2016,14,2,5,0,0,0,0,1,0,2,1,1,0,0,2,1,0,0,15
2016.28846153846,2016,15,1,0,3,0,1,0,1,1,2,3,0,0,0,0,1,0,0,13
2016.30769230769,2016,16,3,3,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,14
2016.32692307692,2016,17,1,2,3,0,0,0,0,0,1,9,0,0,0,0,0,0,0,16
2016.34615384615,2016,18,0,4,2,0,0,0,0,0,1,8,0,0,0,0,0,0,0,15
2016.36538461538,2016,19,1,5,1,0,0,1,1,0,3,5,1,0,2,0,1,0,0,21
2016.38461538462,2016,20,0,0,0,0,0,0,1,0,0,8,0,0,0,1,2,0,0,12
2016.40384615385,2016,21,0,4,0,0,0,0,3,0,0,4,0,0,1,0,0,0,0,12
2016.42307692308,2016,22,2,3,0,0,0,0,3,0,0,7,1,0,1,0,1,0,0,18
2016.44230769231,2016,23,1,1,0,0,0,0,2,0,3,4,2,0,4,0,1,0,0,18
2016.46153846154,2016,24,2,2,0,0,0,2,0,0,1,4,0,1,0,2,2,1,0,17
2016.48076923077,2016,25,2,2,2,0,0,0,1,0,1,2,0,0,0,0,0,1,0,11
2016.5,2016,26,3,2,1,0,2,0,2,0,0,3,3,1,0,0,0,0,0,17
2016.51923076923,2016,27,1,5,6,0,0,0,6,0,1,2,1,0,0,0,0,0,0,22
2016.53846153846,2016,28,3,3,0,0,0,0,1,1,2,5,0,0,0,0,1,0,0,16
2016.55769230769,2016,29,0,10,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,16
2016.57692307692,2016,30,2,3,1,0,0,0,0,0,1,5,1,0,0,0,0,0,0,13
2016.59615384615,2016,31,1,6,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,11
2016.61538461538,2016,32,0,4,1,0,0,0,0,0,0,6,0,1,0,1,1,1,0,15
2016.63461538462,2016,33,0,4,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,9
2016.65384615385,2016,34,1,2,1,0,0,0,2,0,1,6,0,0,1,0,0,0,0,14
2016.67307692308,2016,35,0,1,5,0,0,1,1,1,2,2,0,0,0,0,0,0,0,13
2016.69230769231,2016,36,3,1,0,0,0,0,1,1,2,4,0,0,1,1,2,1,0,17
2016.71153846154,2016,37,2,1,1,1,0,0,6,0,1,2,1,0,0,0,1,1,0,17
2016.73076923077,2016,38,5,1,1,0,0,0,1,0,1,3,0,2,2,0,0,0,0,16
2016.75,2016,39,0,2,0,0,1,0,1,0,1,7,0,0,0,0,0,0,0,12
2016.76923076923,2016,40,0,2,1,0,0,0,2,0,0,4,2,0,0,0,0,1,0,12
2016.78846153846,2016,41,1,4,1,0,0,0,2,1,0,1,1,1,0,1,2,0,0,15
2016.80769230769,2016,42,5,3,1,0,0,2,1,0,3,4,2,0,0,1,0,0,0,22
2016.82692307692,2016,43,0,1,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,7
2016.84615384615,2016,44,5,3,2,0,0,0,1,0,1,3,1,0,1,0,0,1,0,18
2016.86538461538,2016,45,3,3,1,0,0,0,1,0,0,6,0,0,0,0,0,1,0,15
2016.88461538462,2016,46,1,4,0,0,1,0,2,0,0,2,1,0,0,0,0,1,0,12
2016.90384615385,2016,47,2,4,0,0,1,2,0,0,2,5,0,0,0,0,0,1,0,17
2016.92307692308,2016,48,0,2,4,0,1,0,1,0,2,2,0,0,0,0,0,0,0,12
2016.94230769231,2016,49,0,6,1,2,0,0,2,0,1,7,1,0,1,1,1,0,0,23
2016.96153846154,2016,50,1,3,0,0,0,0,2,0,3,4,0,0,1,0,0,0,0,14
2016.98076923077,2016,51,1,0,2,1,0,0,1,0,0,3,2,0,1,0,2,1,0,14
2017,2016,52,1,5,1,0,0,0,1,0,1,3,0,1,0,0,0,0,0,13
2017.01923076923,2017,1,3,3,2,0,1,0,2,0,0,10,1,0,1,0,0,0,0,23
2017.03846153846,2017,2,1,3,0,0,0,0,2,0,4,6,0,0,0,1,0,0,0,17
2017.05769230769,2017,3,2,5,1,0,0,0,1,0,0,2,1,0,0,0,1,0,0,13
2017.07692307692,2017,4,4,5,1,0,0,0,3,1,0,1,0,0,0,0,0,2,0,17
2017.09615384615,2017,5,0,3,0,1,0,0,0,1,1,6,1,0,0,0,0,1,0,14
2017.11538461538,2017,6,1,8,2,0,0,1,1,0,2,7,1,0,1,0,2,0,0,26
2017.13461538462,2017,7,0,5,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,11
2017.15384615385,2017,8,1,2,0,1,0,0,3,2,4,7,1,1,0,0,0,0,0,22
2017.17307692308,2017,9,2,2,0,1,0,2,2,0,3,2,0,0,1,0,0,0,0,15
2017.19230769231,2017,10,3,5,0,1,0,0,3,0,3,4,0,0,0,2,1,0,0,22
2017.21153846154,2017,11,1,2,0,1,0,1,4,0,0,5,0,0,0,0,2,0,0,16
2017.23076923077,2017,12,1,5,2,0,0,0,1,0,1,2,0,1,1,1,1,0,0,16
2017.25,2017,13,2,8,0,1,0,0,5,1,0,3,1,0,0,1,1,0,0,23
2017.26923076923,2017,14,1,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,8
2017.28846153846,2017,15,1,2,1,0,1,0,2,0,4,1,3,0,0,1,1,0,0,17
2017.30769230769,2017,16,0,1,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,7
2017.32692307692,2017,17,0,7,2,0,0,0,2,0,4,3,1,0,1,0,0,0,0,20
2017.34615384615,2017,18,0,2,2,0,0,1,5,0,0,5,1,0,0,0,0,0,0,16
2017.36538461538,2017,19,1,4,1,1,0,2,7,0,0,4,2,0,0,0,0,0,0,22
2017.38461538462,2017,20,0,2,1,0,0,1,2,1,0,3,1,0,2,0,1,0,0,14
2017.40384615385,2017,21,0,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,7
2017.42307692308,2017,22,0,2,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,7
2017.44230769231,2017,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017.46153846154,2017,24,0,0,3,1,0,0,2,0,1,4,1,0,0,1,1,0,0,14
2017.48076923077,2017,25,1,1,0,0,0,0,3,0,2,9,1,0,0,1,0,1,0,19
2017.5,2017,26,2,4,0,0,0,0,1,0,0,8,1,0,1,0,1,0,0,18
2017.51923076923,2017,27,0,0,0,1,0,1,2,0,1,4,4,0,0,0,1,0,0,14
2017.53846153846,2017,28,0,1,1,0,0,0,0,0,1,3,4,0,0,1,1,0,0,12
2017.55769230769,2017,29,2,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,8
2017.57692307692,2017,30,0,0,1,1,0,0,0,0,2,3,1,0,0,0,0,0,0,8
2017.59615384615,2017,31,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2017.61538461538,2017,32,1,0,2,0,0,1,0,0,1,2,1,0,0,0,0,0,0,8
2017.63461538462,2017,33,0,2,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,7
2017.65384615385,2017,34,2,1,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,8
2017.67307692308,2017,35,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
2017.69230769231,2017,36,0,1,0,0,0,1,0,0,0,3,2,0,1,0,1,0,0,9
2017.71153846154,2017,37,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
2017.73076923077,2017,38,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,5
2017.75,2017,39,0,1,0,0,0,1,0,1,2,8,1,0,0,2,0,0,0,16
2017.76923076923,2017,40,0,1,1,0,0,1,3,0,1,1,0,0,0,0,1,1,0,10
2017.78846153846,2017,41,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,6
2017.80769230769,2017,42,1,1,2,0,0,0,2,0,1,5,1,1,1,1,0,0,0,16
2017.82692307692,2017,43,2,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,8
2017.84615384615,2017,44,0,1,0,0,0,0,1,0,1,4,0,0,0,0,1,0,0,8
2017.86538461538,2017,45,1,4,0,0,0,0,3,0,1,4,1,0,0,0,0,0,0,14
2017.88461538462,2017,46,2,3,0,1,0,0,0,0,2,3,0,0,0,0,0,1,0,12
2017.90384615385,2017,47,4,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,11
2017.92307692308,2017,48,1,3,2,0,0,0,1,0,0,4,1,0,1,0,0,0,0,13
2017.94230769231,2017,49,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5
2017.96153846154,2017,50,0,2,1,0,0,1,0,0,2,3,2,0,0,0,0,0,0,11
2017.98076923077,2017,51,3,5,1,0,0,0,1,0,3,4,2,1,0,0,1,2,0,23
2018,2017,52,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,4
